annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
Hove,E14000755,6900,56100,12.4,4.6,17000,56100,30.3,6.4,9900,56100,17.7,5.3,4400,56100,7.8,3.7,2900,56100,5.2,3.1,5900,56100,10.6,4.3,2800,56100,4.9,*,1400,56100,2.5,*
Isle of Wight,E14000762,6000,58700,10.3,2.3,9900,58700,16.9,2.9,7300,58700,12.4,2.5,5400,58700,9.1,2.2,7300,58700,12.4,2.5,7200,58700,12.3,2.5,5200,58700,8.9,2.2,3700,58700,6.4,1.9
Lewes,E14000786,6000,48500,12.4,5.9,10400,48500,21.4,7.4,7700,48500,15.8,6.6,6500,48500,13.5,6.1,3300,48500,6.8,*,4500,48500,9.2,5.2,2500,48500,5.2,*,2000,48500,4,*
Maidenhead,E14000803,8300,52800,15.7,3,15000,52800,28.3,3.7,10200,52800,19.3,3.3,5800,52800,11,2.6,2700,52800,5,1.8,4400,52800,8.3,2.3,2500,52800,4.7,1.8,1400,52800,2.6,1.3
Maidstone and The Weald,E14000804,8700,66400,13,7,12300,66400,18.6,8.1,13600,66400,20.5,8.4,7100,66400,10.7,6.4,4700,66400,7,*,3500,66400,5.3,*,!,66400,!,!,5500,66400,8.2,*
Meon Valley,E14000811,9900,44400,22.3,8.5,9500,44400,21.3,8.3,8800,44400,19.8,8.1,4100,44400,9.3,*,4200,44400,9.4,*,2900,44400,6.6,*,!,44400,!,!,!,44400,!,!
Mid Sussex,E14000817,8400,63500,13.2,6.4,12700,63500,20,7.5,8600,63500,13.6,6.4,8600,63500,13.6,6.4,3400,63500,5.3,*,6900,63500,10.8,5.8,7100,63500,11.3,5.9,!,63500,!,!
Milton Keynes North,E14000821,7100,70500,10.1,3.1,17500,70500,24.8,4.5,7900,70500,11.2,3.3,6000,70500,8.5,2.9,5100,70500,7.3,2.7,6800,70500,9.6,3.1,6900,70500,9.8,3.1,5300,70500,7.5,2.7
Milton Keynes South,E14000822,8200,65000,12.6,3.6,13600,65000,20.9,4.4,12200,65000,18.8,4.2,6800,65000,10.4,3.3,4700,65000,7.2,2.8,4700,65000,7.3,2.8,5400,65000,8.4,3,2600,65000,4.1,2.1
Mole Valley,E14000824,9600,57300,16.8,7,12900,57300,22.6,7.8,14900,57300,25.9,8.2,5700,57300,9.9,5.6,6300,57300,10.9,5.8,1900,57300,3.2,*,!,57300,!,!,!,57300,!,!
New Forest East,E14000827,6000,49200,12.1,5.8,9200,49200,18.7,6.9,5100,49200,10.3,5.4,7600,49200,15.5,6.4,6900,49200,14.1,6.2,5100,49200,10.3,5.4,1900,49200,4,*,2900,49200,6,*
New Forest West,E14000828,7000,39800,17.5,7.3,7300,39800,18.5,7.4,5800,39800,14.5,6.7,4900,39800,12.3,6.3,4100,39800,10.2,5.8,4800,39800,12,6.2,!,39800,!,!,1800,39800,4.5,*
Newbury,E14000830,8600,63500,13.5,3.1,15300,63500,24.1,3.9,7900,63500,12.5,3,7500,63500,11.8,2.9,6200,63500,9.7,2.7,5100,63500,8,2.5,4200,63500,6.6,2.2,3500,63500,5.6,2.1
North East Hampshire,E14000844,11400,54200,21.1,7,15500,54200,28.6,7.8,11500,54200,21.2,7.1,2800,54200,5.1,*,2900,54200,5.3,*,2900,54200,5.4,*,1700,54200,3.2,*,1100,54200,2.1,*
North Thanet,E14000852,5100,36700,13.8,*,6000,36700,16.3,*,3100,36700,8.5,*,3900,36700,10.6,*,6900,36700,18.9,10.1,4900,36700,13.3,*,!,36700,!,!,2700,36700,7.4,*
North West Hampshire,E14000857,5600,59500,9.5,5,16000,59500,26.9,7.6,10900,59500,18.4,6.6,7000,59500,11.8,5.5,3500,59500,5.9,*,3900,59500,6.6,*,4300,59500,7.3,4.4,3200,59500,5.4,*
Oxford East,E14000873,8100,65600,12.3,6.3,23600,65600,35.9,9.2,8300,65600,12.7,6.4,2900,65600,4.3,*,!,65600,!,!,4200,65600,6.4,*,5100,65600,7.8,*,!,65600,!,!
Oxford West and Abingdon,E14000874,4100,59600,7,4.6,21500,59600,36,8.6,12500,59600,20.9,7.3,6800,59600,11.4,5.7,6200,59600,10.4,5.5,2400,59600,4.1,*,2300,59600,3.9,*,!,59600,!,!
Portsmouth North,E14000883,5400,55800,9.7,3.4,7700,55800,13.8,4,8500,55800,15.2,4.1,7800,55800,14,4,7500,55800,13.5,3.9,5200,55800,9.3,3.3,4100,55800,7.4,3,3300,55800,5.8,2.7
Portsmouth South,E14000884,5100,50200,10.1,3.7,9400,50200,18.7,4.8,8000,50200,15.9,4.5,3400,50200,6.8,3.1,5200,50200,10.4,3.8,3800,50200,7.6,3.3,4100,50200,8.2,3.4,5800,50200,11.5,3.9
Reading East,E14000889,5700,61000,9.3,2.7,22000,61000,36.1,4.5,9900,61000,16.2,3.4,6100,61000,10.1,2.8,3500,61000,5.7,2.1,4600,61000,7.5,2.4,3100,61000,5,2,2000,61000,3.3,1.7
Reading West,E14000890,5100,54500,9.4,2.9,10100,54500,18.5,3.9,8700,54500,16,3.6,7100,54500,13,3.3,5500,54500,10.1,3,5300,54500,9.7,2.9,3200,54500,5.8,2.3,2900,54500,5.3,2.2
Reigate,E14000893,5300,60900,8.7,5.4,19400,60900,31.8,8.9,15800,60900,25.9,8.4,5500,60900,9,5.5,3600,60900,5.9,*,4000,60900,6.6,*,1600,60900,2.5,*,2300,60900,3.8,*
Rochester and Strood,E14000898,5200,57100,9,3.9,10600,57100,18.6,5.3,7800,57100,13.7,4.7,8100,57100,14.3,4.8,8000,57100,14,4.8,6600,57100,11.6,4.4,3400,57100,6,3.3,3900,57100,6.8,3.5
Romsey and Southampton North,E14000901,5800,42700,13.7,5.6,11600,42700,27.1,7.3,4900,42700,11.4,5.2,5200,42700,12.2,5.4,2800,42700,6.5,4.1,3700,42700,8.7,4.6,2100,42700,4.8,*,2600,42700,6.1,*
Runnymede and Weybridge,E14000907,12700,60400,21,8,18700,60400,31,9.1,9200,60400,15.3,7.1,6000,60400,10,5.9,3800,60400,6.3,*,3200,60400,5.3,*,2700,60400,4.4,*,!,60400,!,!
Sevenoaks,E14000918,11100,48200,23,10.6,13100,48200,27.1,11.2,3200,48200,6.7,*,!,48200,!,!,2800,48200,5.8,*,!,48200,!,!,8300,48200,17.2,9.5,!,48200,!,!
Sittingbourne and Sheppey,E14000927,5900,51300,11.5,6,11400,51300,22.1,7.8,4600,51300,9,*,4400,51300,8.5,*,6200,51300,12,6.1,5800,51300,11.2,6,!,51300,!,!,5600,51300,10.9,5.9
Slough,E14000930,6500,71100,9.1,2.4,13600,71100,19.1,3.2,11400,71100,16,3,6400,71100,9,2.4,6700,71100,9.5,2.4,7700,71100,10.9,2.6,5000,71100,7.1,2.1,5400,71100,7.5,2.2
South Thanet,E14000948,4600,48600,9.4,*,7300,48600,15,7.9,8600,48600,17.7,8.4,2300,48600,4.8,*,7800,48600,16.1,8.1,2600,48600,5.3,*,6600,48600,13.7,7.6,3100,48600,6.4,*
South West Surrey,E14000953,6400,57400,11.2,5.8,18500,57400,32.2,8.6,14900,57400,25.9,8,7000,57400,12.2,6,2500,57400,4.3,*,2300,57400,4,*,3300,57400,5.7,*,1700,57400,2.9,*
"Southampton, Itchen",E14000955,4700,60900,7.8,2.8,11600,60900,19.1,4.1,8100,60900,13.2,3.6,6600,60900,10.9,3.3,5600,60900,9.2,3,7200,60900,11.7,3.4,3900,60900,6.4,2.6,6200,60900,10.1,3.2
"Southampton, Test",E14000956,2900,62600,4.7,2.2,12700,62600,20.3,4.2,8600,62600,13.7,3.6,6300,62600,10.1,3.2,5100,62600,8.1,2.9,6100,62600,9.8,3.1,5400,62600,8.6,3,4600,62600,7.3,2.7
Spelthorne,E14000959,6900,54700,12.5,6,10400,54700,19,7.1,8000,54700,14.6,6.4,10200,54700,18.7,7.1,5400,54700,9.9,5.4,5400,54700,9.9,5.4,2500,54700,4.5,*,3500,54700,6.4,*
Surrey Heath,E14000983,5400,55100,9.8,*,13600,55100,24.7,8.8,10700,55100,19.4,8,2300,55100,4.3,*,7800,55100,14.2,7.1,6200,55100,11.3,6.4,3200,55100,5.9,*,!,55100,!,!
Tonbridge and Malling,E14000997,6100,59400,10.2,*,10200,59400,17.1,8.2,8800,59400,14.8,7.7,7300,59400,12.3,7.1,4200,59400,7,*,4800,59400,8.1,*,7800,59400,13.1,7.3,1700,59400,2.9,*
Tunbridge Wells,E14001004,8600,53300,16.2,7.3,13700,53300,25.7,8.7,11000,53300,20.6,8,5800,53300,10.8,6.2,3700,53300,7,*,2000,53300,3.7,*,5100,53300,9.5,*,1700,53300,3.2,*
Wantage,E14001015,9100,64300,14.2,5.5,14700,64300,22.9,6.7,13700,64300,21.2,6.5,5900,64300,9.1,4.6,5200,64300,8.1,4.3,5700,64300,8.8,4.5,4300,64300,6.7,*,2000,64300,3,*
Wealden,E14001023,5200,46800,11.2,5.5,12000,46800,25.7,7.7,6700,46800,14.4,6.1,4500,46800,9.6,5.2,3500,46800,7.4,*,6100,46800,13.1,5.9,2500,46800,5.3,*,1800,46800,3.8,*
Winchester,E14001041,6000,41100,14.7,7.1,13200,41100,32,9.3,6800,41100,16.4,7.4,3700,41100,9.1,*,2100,41100,5.2,*,2800,41100,6.7,*,3200,41100,7.7,*,1100,41100,2.7,*
Windsor,E14001042,9100,53400,17.1,3.1,12800,53400,24.1,3.5,10200,53400,19.2,3.2,5800,53400,10.9,2.5,4000,53400,7.4,2.1,3800,53400,7.1,2.1,3500,53400,6.5,2,1000,53400,1.9,1.1
Witney,E14001046,10400,60700,17.1,6.5,14300,60700,23.5,7.3,6900,60700,11.4,5.5,6500,60700,10.6,5.3,6200,60700,10.1,5.2,5700,60700,9.5,5,5600,60700,9.2,5,1500,60700,2.4,*
Woking,E14001047,5700,60000,9.4,*,23000,60000,38.3,9.9,9400,60000,15.6,7.4,5200,60000,8.6,*,3000,60000,4.9,*,4400,60000,7.3,*,5100,60000,8.5,*,!,60000,!,!
Wokingham,E14001048,7800,56000,13.9,3.1,17500,56000,31.3,4.2,9300,56000,16.5,3.3,5100,56000,9.1,2.6,4300,56000,7.7,2.4,4100,56000,7.4,2.4,3000,56000,5.4,2,1300,56000,2.4,1.4
Worthing West,E14001055,4900,40400,12,7.1,7100,40400,17.5,8.3,3700,40400,9.1,*,5200,40400,12.9,7.4,8400,40400,20.9,8.9,4500,40400,11.1,*,3000,40400,7.5,*,1900,40400,4.6,*
Wycombe,E14001056,9900,62200,16,5.4,10000,62200,16.1,5.4,8900,62200,14.3,5.1,7400,62200,11.9,4.8,4800,62200,7.8,3.9,5000,62200,8.1,4,6100,62200,9.9,4.4,3900,62200,6.3,3.6
Bath,E14000547,7100,52100,13.7,3.6,14200,52100,27.2,4.6,8700,52100,16.7,3.9,4400,52100,8.4,2.9,3100,52100,6,2.5,3800,52100,7.4,2.7,5000,52100,9.7,3.1,1800,52100,3.4,1.9
Bournemouth East,E14000584,6300,58600,10.8,3.2,11900,58600,20.3,4.1,11400,58600,19.4,4,5500,58600,9.5,3,5900,58600,10.1,3.1,5600,58600,9.5,3,3300,58600,5.7,2.4,2100,58600,3.6,1.9
Bournemouth West,E14000585,6200,55300,11.2,3.3,9800,55300,17.7,4,5000,55300,9,3,6100,55300,11,3.3,7800,55300,14.2,3.6,4200,55300,7.5,2.8,4900,55300,8.9,3,2900,55300,5.3,2.3
Bridgwater and West Somerset,E14000595,7000,57400,12.2,5.2,7000,57400,12.2,5.2,6300,57400,10.9,4.9,4800,57400,8.3,4.4,7100,57400,12.4,5.2,6200,57400,10.8,4.9,3400,57400,5.9,*,8000,57400,13.9,5.5
Bristol East,E14000599,5500,65400,8.5,3.7,14800,65400,22.7,5.6,11800,65400,18.1,5.1,7400,65400,11.4,4.2,5300,65400,8.2,3.6,5100,65400,7.8,3.6,6100,65400,9.4,3.9,3900,65400,6,3.2
Bristol North West,E14000600,4700,51300,9.2,4.4,16300,51300,31.7,7,8600,51300,16.9,5.6,3600,51300,7.1,3.9,1600,51300,3.1,*,4800,51300,9.4,4.4,4400,51300,8.7,4.2,2200,51300,4.2,*
Bristol South,E14000601,4400,68000,6.5,3.3,14000,68000,20.5,5.4,9200,68000,13.5,4.6,7500,68000,11,4.2,8300,68000,12.2,4.4,6400,68000,9.3,3.9,4900,68000,7.2,3.5,3500,68000,5.1,2.9
Bristol West,E14000602,6700,70100,9.6,3.8,27400,70100,39.2,6.3,16300,70100,23.3,5.5,5200,70100,7.5,3.4,3100,70100,4.4,2.7,3700,70100,5.2,2.9,1100,70100,1.6,*,1200,70100,1.6,*
Camborne and Redruth,E14000616,3800,39600,9.5,*,4700,39600,11.9,6.9,3800,39600,9.6,*,1500,39600,3.9,*,8000,39600,20.3,8.6,4300,39600,10.9,6.6,3400,39600,8.7,*,2700,39600,6.8,*
Central Devon,E14000623,3900,41400,9.3,5.5,7300,41400,17.5,7.2,7500,41400,18.1,7.3,3100,41400,7.6,*,4300,41400,10.3,5.8,3500,41400,8.5,*,3100,41400,7.4,*,1500,41400,3.7,*
Cheltenham,E14000630,8300,59200,14,5.7,12900,59200,21.7,6.8,10600,59200,17.8,6.3,8000,59200,13.4,5.6,4400,59200,7.4,4.3,7900,59200,13.3,5.6,3900,59200,6.5,*,1600,59200,2.7,*
Chippenham,E14000635,6200,40700,15.2,6.4,7000,40700,17.1,6.7,5700,40700,14,6.2,7100,40700,17.5,6.7,5200,40700,12.8,5.9,1800,40700,4.5,*,2300,40700,5.7,*,1900,40700,4.6,*
Christchurch,E14000638,4300,41400,10.3,5.4,8100,41400,19.5,7.1,8700,41400,20.9,7.3,4100,41400,10,5.4,5800,41400,14,6.2,3400,41400,8.2,*,2300,41400,5.5,*,1500,41400,3.5,*
Devizes,E14000665,13200,52200,25.3,7.5,6100,52200,11.7,5.6,9900,52200,19,6.8,2100,52200,4,*,5500,52200,10.5,5.3,5600,52200,10.8,5.4,3000,52200,5.7,*,3300,52200,6.3,*
East Devon,E14000678,4000,52000,7.6,4.5,10900,52000,21,6.9,10500,52000,20.1,6.8,3800,52000,7.4,4.4,5000,52000,9.6,5,7300,52000,14,5.9,2300,52000,4.5,*,3100,52000,5.9,*
Exeter,E14000698,5100,61000,8.4,5,14900,61000,24.5,7.7,8000,61000,13.1,6.1,6300,61000,10.3,5.5,2800,61000,4.6,*,6700,61000,11,5.6,4700,61000,7.8,*,2800,61000,4.6,*
Filton and Bradley Stoke,E14000702,4700,55300,8.5,3.3,15500,55300,28,5.3,9400,55300,16.9,4.5,4600,55300,8.3,3.3,5100,55300,9.2,3.4,4000,55300,7.2,3.1,4400,55300,7.9,3.2,2300,55300,4.2,2.4
Forest of Dean,E14000705,5000,44500,11.2,5.7,4900,44500,10.9,5.6,3400,44500,7.5,4.7,5800,44500,13.1,6.1,6900,44500,15.6,6.5,4400,44500,9.8,5.3,3900,44500,8.9,5.1,4500,44500,10.1,5.4
Gloucester,E14000712,3700,64300,5.7,3.5,11800,64300,18.3,5.9,7700,64300,12,5,8500,64300,13.2,5.2,7200,64300,11.2,4.8,6800,64300,10.6,4.7,4900,64300,7.6,4,4800,64300,7.4,4
Kingswood,E14000774,4900,45400,10.7,4.1,8100,45400,17.9,5.1,8300,45400,18.4,5.1,4800,45400,10.7,4.1,4100,45400,9.1,3.8,6600,45400,14.4,4.7,2300,45400,5.1,2.9,3000,45400,6.6,3.3
Mid Dorset and North Poole,E14000815,3800,35200,10.9,4.5,6500,35200,18.4,5.6,5400,35200,15.3,5.2,4700,35200,13.3,4.9,4000,35200,11.5,4.6,3900,35200,11.1,4.6,2300,35200,6.4,3.6,1500,35200,4.4,3
Newton Abbot,E14000835,2200,40300,5.5,*,6600,40300,16.3,7.3,6200,40300,15.3,7.2,6000,40300,14.8,7.1,5800,40300,14.5,7,2800,40300,7,*,4100,40300,10.2,*,1100,40300,2.7,*
North Cornwall,E14000837,5700,44100,13,5.4,4200,44100,9.5,4.7,2600,44100,5.9,3.8,3000,44100,6.7,4,7900,44100,18,6.2,5500,44100,12.4,5.3,4700,44100,10.5,4.9,3100,44100,7,4.1
North Devon,E14000838,6400,49400,13,7,6500,49400,13.1,7.1,6800,49400,13.8,7.2,4100,49400,8.4,*,8500,49400,17.2,7.9,2300,49400,4.6,*,3600,49400,7.3,*,4500,49400,9.1,*
North Dorset,E14000839,8300,44400,18.7,6.3,7700,44400,17.3,6.1,6500,44400,14.7,5.7,4000,44400,9,4.6,5700,44400,12.8,5.4,5100,44400,11.5,5.1,1300,44400,3,*,2000,44400,4.5,*
North East Somerset,E14000846,6700,49400,13.7,3.5,10300,49400,20.8,4.1,7800,49400,15.8,3.7,4900,49400,9.9,3,5000,49400,10.1,3,4800,49400,9.8,3,2500,49400,5.1,2.2,2800,49400,5.7,2.3
North Somerset,E14000850,8400,52400,16,3.8,12200,52400,23.3,4.4,7600,52400,14.6,3.6,5000,52400,9.5,3,4400,52400,8.3,2.8,3600,52400,7,2.6,3000,52400,5.7,2.4,3000,52400,5.7,2.4
North Swindon,E14000851,5400,57400,9.4,2.9,11200,57400,19.6,3.9,7400,57400,12.9,3.3,6100,57400,10.6,3,6000,57400,10.4,3,5300,57400,9.2,2.9,5400,57400,9.5,2.9,4400,57400,7.7,2.6
North Wiltshire,E14000860,6900,47500,14.5,5.9,9500,47500,20,6.7,6100,47500,12.9,5.6,4400,47500,9.2,4.9,7000,47500,14.6,5.9,3500,47500,7.4,4.4,3600,47500,7.7,4.5,2600,47500,5.5,*
"Plymouth, Moor View",E14000879,3200,45900,6.9,3.2,4100,45900,8.8,3.6,7400,45900,16.2,4.6,6600,45900,14.3,4.4,5300,45900,11.6,4,5600,45900,12.2,4.1,3400,45900,7.4,3.3,4000,45900,8.8,3.6
"Plymouth, Sutton and Devonport",E14000880,5600,45800,12.3,4.2,9600,45800,20.9,5.2,6000,45800,13,4.3,3100,45800,6.7,3.2,5400,45800,11.8,4.1,4400,45800,9.7,3.8,2600,45800,5.7,2.9,4400,45800,9.6,3.7
Poole,E14000881,6000,46300,13,3.5,11500,46300,24.7,4.5,7400,46300,16,3.8,5700,46300,12.4,3.4,5400,46300,11.6,3.3,2600,46300,5.7,2.4,2300,46300,4.9,2.2,1700,46300,3.6,1.9
Salisbury,E14000912,4800,50900,9.5,4.7,13400,50900,26.2,7.1,6900,50900,13.6,5.5,5100,50900,10,4.8,5600,50900,10.9,5,6000,50900,11.8,5.2,2100,50900,4.2,*,1600,50900,3.1,*
Somerton and Frome,E14000932,8400,46000,18.3,7.3,8000,46000,17.5,7.1,2200,46000,4.7,*,3500,46000,7.7,*,7000,46000,15.1,6.7,6000,46000,13.1,6.3,5200,46000,11.3,6,2400,46000,5.2,*
South Dorset,E14000936,6900,45000,15.4,6.1,9800,45000,21.8,7,4900,45000,10.9,5.3,4500,45000,10,5.1,5200,45000,11.4,5.4,4600,45000,10.2,5.1,2200,45000,4.9,*,1600,45000,3.5,*
South East Cornwall,E14000938,2900,42700,6.9,*,8400,42700,19.6,7.4,5900,42700,13.8,6.4,3700,42700,8.6,5.2,3800,42700,9,5.3,6400,42700,15,6.6,2900,42700,6.8,*,2900,42700,6.8,*
South Swindon,E14000947,5800,55800,10.3,3.1,12700,55800,22.8,4.2,6500,55800,11.7,3.2,6200,55800,11.1,3.2,3400,55800,6.1,2.4,4100,55800,7.3,2.6,2800,55800,5.1,2.2,5800,55800,10.3,3.1
South West Devon,E14000950,4100,49300,8.3,3.8,12400,49300,25.1,6,7200,49300,14.5,4.9,5000,49300,10.1,4.2,7800,49300,15.7,5,3800,49300,7.8,3.7,3000,49300,6.1,3.3,2000,49300,4.1,2.8
South West Wiltshire,E14000954,4900,53600,9.1,4.4,8600,53600,16,5.6,6300,53600,11.8,5,7800,53600,14.6,5.4,8400,53600,15.6,5.6,5000,53600,9.4,4.5,3600,53600,6.7,3.8,4300,53600,8.1,4.2
St Austell and Newquay,E14000961,3600,49500,7.2,4.2,5500,49500,11,5.1,6700,49500,13.5,5.5,4900,49500,9.9,4.8,7500,49500,15.1,5.8,6900,49500,13.9,5.6,4300,49500,8.6,4.5,2300,49500,4.6,*
St Ives,E14000964,8300,43000,19.2,8.3,9000,43000,20.9,8.6,5400,43000,12.5,7,2700,43000,6.2,*,5900,43000,13.8,7.3,5600,43000,12.9,7.1,!,43000,!,!,1600,43000,3.6,*
Stroud,E14000980,7300,55300,13.2,5.8,10500,55300,18.9,6.7,10900,55300,19.7,6.8,3800,55300,6.8,4.3,4600,55300,8.3,4.7,6200,55300,11.2,5.4,3900,55300,7,4.4,4300,55300,7.8,4.6
Taunton Deane,E14000988,4800,54400,8.8,4.5,13800,54400,25.4,6.8,4500,54400,8.3,4.3,5000,54400,9.3,4.6,6800,54400,12.6,5.2,6500,54400,11.9,5.1,5300,54400,9.7,4.6,2600,54400,4.7,*
Tewkesbury,E14000990,7800,52800,14.7,5.5,14600,52800,27.6,6.9,7600,52800,14.5,5.4,5600,52800,10.5,4.7,5500,52800,10.4,4.7,3700,52800,7,3.9,2600,52800,4.9,*,2900,52800,5.5,*
The Cotswolds,E14000991,9600,50700,18.9,6.8,12000,50700,23.7,7.4,5000,50700,9.8,5.2,3300,50700,6.6,*,8500,50700,16.7,6.5,3100,50700,6,*,3900,50700,7.7,*,1600,50700,3.2,*
Thornbury and Yate,E14000994,5400,47200,11.4,4.1,8900,47200,18.9,5,7800,47200,16.6,4.8,6500,47200,13.8,4.4,4100,47200,8.7,3.6,4800,47200,10.2,3.9,2300,47200,4.8,*,3400,47200,7.2,3.3
Tiverton and Honiton,E14000996,5200,56000,9.3,4.7,8200,56000,14.6,5.7,5700,56000,10.2,4.9,5300,56000,9.4,4.7,9300,56000,16.5,6,5600,56000,10,4.9,6400,56000,11.4,5.1,3500,56000,6.2,*
Torbay,E14000999,5800,43100,13.4,3,7300,43100,16.9,3.3,5200,43100,12,2.9,4900,43100,11.4,2.8,5100,43100,11.7,2.8,4300,43100,9.9,2.6,3800,43100,8.9,2.5,1700,43100,4.1,1.7
Torridge and West Devon,E14001000,7400,53000,13.9,6.1,10100,53000,19.1,6.9,7500,53000,14.2,6.1,3300,53000,6.1,*,6800,53000,12.9,5.9,5400,53000,10.1,5.3,2900,53000,5.4,*,3200,53000,6,*
Totnes,E14001001,7900,41600,18.9,5,4900,41600,11.8,4.1,6500,41600,15.6,4.7,4900,41600,11.7,4.1,6100,41600,14.7,4.5,3500,41600,8.4,3.5,2600,41600,6.2,3.1,2200,41600,5.2,2.8
Truro and Falmouth,E14001003,3500,46300,7.6,*,10100,46300,21.7,8.9,9800,46300,21.1,8.8,3100,46300,6.6,*,6700,46300,14.4,7.6,4000,46300,8.6,*,6300,46300,13.5,7.4,!,46300,!,!
Wells,E14001026,5400,57100,9.5,4.8,13200,57100,23.1,6.9,10100,57100,17.7,6.2,7800,57100,13.7,5.6,3200,57100,5.6,*,4900,57100,8.5,4.6,3500,57100,6.1,*,3400,57100,5.9,*
West Dorset,E14001031,7500,43700,17.2,6.3,7900,43700,18.1,6.4,7000,43700,16,6.1,4000,43700,9.1,4.8,6200,43700,14.2,5.8,4300,43700,9.9,5,2100,43700,4.9,*,1500,43700,3.3,*
Weston-Super-Mare,E14001038,6100,50400,12.1,3.5,8100,50400,16.1,3.9,7200,50400,14.3,3.7,6100,50400,12.1,3.5,6200,50400,12.4,3.5,4400,50400,8.7,3,3800,50400,7.6,2.8,4700,50400,9.4,3.1
Yeovil,E14001060,7900,62500,12.7,5.5,13100,62500,20.9,6.7,9900,62500,15.8,6,3800,62500,6.1,*,7000,62500,11.2,5.2,4900,62500,7.8,4.4,5800,62500,9.2,4.8,2800,62500,4.4,*
Ynys Mon,W07000041,3500,33200,10.5,2.4,6100,33200,18.4,3,4200,33200,12.6,2.6,2900,33200,8.7,2.2,4900,33200,14.9,2.7,3700,33200,11.2,2.4,2300,33200,6.9,1.9,1700,33200,5.1,1.7
Delyn,W07000042,2800,33800,8.2,3.3,4600,33800,13.6,4.2,4300,33800,12.8,4.1,3900,33800,11.5,3.9,3800,33800,11.4,3.8,4500,33800,13.2,4.1,2100,33800,6.3,2.9,4100,33800,12.3,4
Alyn and Deeside,W07000043,5200,44700,11.6,3.4,6600,44700,14.7,3.8,5600,44700,12.5,3.5,4400,44700,9.8,3.2,5600,44700,12.4,3.5,4200,44700,9.4,3.1,5100,44700,11.3,3.4,3800,44700,8.5,3
Wrexham,W07000044,3600,33100,10.9,3.6,6000,33100,18.1,4.5,3800,33100,11.4,3.7,4000,33100,12.2,3.8,3000,33100,9.2,3.4,2900,33100,8.7,3.3,2700,33100,8.2,3.2,2500,33100,7.5,3
Llanelli,W07000045,3100,35600,8.7,3.2,6000,35600,17,4.3,4500,35600,12.7,3.8,3700,35600,10.5,3.5,4800,35600,13.4,3.9,5000,35600,13.9,4,1800,35600,5,2.5,3400,35600,9.4,3.3
Gower,W07000046,4800,43000,11,3.7,10300,43000,23.8,5,7100,43000,16.4,4.4,4600,43000,10.7,3.6,4100,43000,9.5,3.4,3700,43000,8.5,3.3,3300,43000,7.7,3.1,1700,43000,4,2.3
Swansea West,W07000047,2800,38800,7.2,3.3,10500,38800,27,5.6,4100,38800,10.7,3.9,3300,38800,8.5,3.5,4600,38800,11.9,4.1,3000,38800,7.8,3.4,3200,38800,8.3,3.5,2800,38800,7.1,3.3
Swansea East,W07000048,1600,30800,5.2,3.1,4500,30800,14.7,4.9,4000,30800,13,4.7,4800,30800,15.5,5,2500,30800,8.3,3.8,3000,30800,9.7,4.1,3900,30800,12.5,4.6,1200,30800,3.9,*
Aberavon,W07000049,3100,29800,10.3,3.8,3800,29800,12.9,4.2,4500,29800,15,4.5,2100,29800,7.1,3.2,4100,29800,13.9,4.3,3100,29800,10.6,3.8,3100,29800,10.4,3.8,2400,29800,8.1,3.4
Cardiff Central,W07000050,4100,37000,11.1,5.3,12900,37000,34.9,8.1,6100,37000,16.4,6.3,2800,37000,7.6,4.5,1200,37000,3.3,*,2800,37000,7.5,4.5,4300,37000,11.6,5.4,700,37000,1.9,*
Cardiff North,W07000051,6500,57600,11.2,4.2,19200,57600,33.2,6.2,12500,57600,21.7,5.5,3900,57600,6.7,3.3,4000,57600,7,3.4,3600,57600,6.3,3.2,3200,57600,5.6,3,2300,57600,4,*
Rhondda,W07000052,1400,30100,4.8,*,4000,30100,13.4,5,4200,30100,13.9,5.1,2000,30100,6.5,3.6,3900,30100,12.8,4.9,4400,30100,14.7,5.2,2200,30100,7.4,3.9,2400,30100,8.1,4
